ts,frame_idx,mode,fps,latency_ms,width,height,power_state
1771342480.1253405,404,hand,29.12003332523345,25.209099985659122,640,480,unknown
1771342480.1607873,405,hand,29.234711089426362,25.771799962967634,640,480,unknown
1771342480.1951613,406,hand,29.278995902354577,26.34590002708137,640,480,unknown
1771342480.2291605,407,hand,28.66567339630121,26.285900035873055,640,480,unknown
1771342480.2519572,408,hand,29.53548014562457,14.173700008541346,640,480,unknown
1771342480.2968802,409,hand,29.291673359359176,26.5516999643296,640,480,unknown
1771342480.3310122,410,hand,29.894826873458683,26.93099994212389,640,480,unknown
1771342480.35538,411,hand,29.185888247164428,26.180499931797385,640,480,unknown
1771342480.389857,412,hand,29.067361534623274,26.065999874845147,640,480,unknown
1771342480.4241512,413,hand,29.090142388492403,25.748599786311388,640,480,unknown
1771342480.4687967,414,hand,29.08610777861764,26.14109986461699,640,480,unknown
1771342480.4958966,415,hand,29.129740879384943,26.644299970939755,640,480,unknown
1771342480.5353777,416,hand,29.19848518601025,25.117999874055386,640,480,unknown
1771342480.5697513,417,hand,29.068167327363955,25.69409995339811,640,480,unknown
1771342480.596119,418,hand,28.933417952043264,25.75210016220808,640,480,unknown
1771342480.630498,419,hand,29.274091445242433,26.460299966856837,640,480,unknown
1771342480.673082,420,hand,28.729093462104867,25.24479990825057,640,480,unknown
1771342480.7090123,421,hand,29.420705232072837,25.74259997345507,640,480,unknown
1771342480.7437756,422,hand,29.467418872113363,26.578000048175454,640,480,unknown
1771342480.7773342,423,hand,29.149580579474456,25.958500104025006,640,480,unknown
1771342480.8011672,424,hand,29.342698437128345,25.75530018657446,640,480,unknown
1771342480.845322,425,hand,29.37825438295428,26.072399923577905,640,480,unknown
1771342480.8776054,426,hand,29.391635833613634,24.731999961659312,640,480,unknown
1771342480.9116123,427,hand,29.376402526999957,24.77120002731681,640,480,unknown
1771342480.936874,428,hand,29.152214406850344,14.600200112909079,640,480,unknown
1771342480.9574864,429,hand,28.728306358262728,15.141499927267432,640,480,unknown
1771342481.003938,430,hand,29.40420490314982,14.803600031882524,640,480,unknown
1771342481.0252452,431,hand,29.872470745760538,15.273600118234754,640,480,unknown
1771342481.059381,432,hand,29.891844123264633,13.7682999484241,640,480,unknown
1771342481.0772965,433,hand,53.94672600290679,14.445600099861622,640,480,unknown
1771342481.1251512,434,hand,30.179625552245678,15.425000106915832,640,480,unknown
1771342481.1528752,435,hand,29.269392882065596,14.652000041678548,640,480,unknown
1771342481.193245,436,hand,29.113767301098108,15.8504000864923,640,480,unknown
1771342481.2120025,437,hand,30.286626181518844,15.273299999535084,640,480,unknown
