ts,frame_idx,mode,fps,latency_ms,target_w,target_h,power_state
1771344010.0487106,3671,face,31.323216632811565,1.9712999928742647,320,240,plugged
1771344010.0795243,3672,face,31.498227696004808,1.8356000073254108,320,240,plugged
1771344010.1129797,3673,face,29.08167100017334,1.7661999445408583,320,240,plugged
1771344010.144594,3674,face,31.631251885369533,1.8825000151991844,320,240,plugged
1771344010.1777742,3675,face,30.13842262589101,2.61080008931458,320,240,plugged
1771344010.208538,3676,face,32.50566909240272,2.9478000942617655,320,240,plugged
1771344010.241247,3677,face,30.572734363041306,1.8587000668048859,320,240,plugged
1771344010.274658,3678,face,29.930239196209396,4.898200044408441,320,240,plugged
1771344010.3074281,3679,face,30.51556952447471,3.572799963876605,320,240,plugged
1771344010.3546894,3680,face,21.158988639344592,5.783699918538332,320,240,plugged
1771344010.3877745,3681,face,31.50414241183761,2.4294001050293446,320,240,plugged
1771344010.4159687,3682,face,33.85533824633341,2.400199882686138,320,240,plugged
1771344010.4495163,3683,face,29.808356252976,4.008400021120906,320,240,plugged
1771344010.4803169,3684,face,32.466920046134675,1.976899802684784,320,240,plugged
1771344010.5120232,3685,face,31.53944024182997,2.780799986794591,320,240,plugged
1771344010.5464625,3686,face,30.593919589192975,3.2577000092715025,320,240,plugged
1771344010.578233,3687,face,29.829767865270824,3.347399877384305,320,240,plugged
1771344010.6075969,3688,face,34.05545586671105,1.818300224840641,320,240,plugged
1771344010.6418972,3689,face,29.15424075181071,2.3962000850588083,320,240,plugged
1771344010.674131,3690,face,31.023417506176127,5.552399903535843,320,240,plugged
1771344010.7192328,3691,face,22.172024253188912,1.9463000353425741,320,240,plugged
1771344010.751302,3692,face,31.182561632021887,4.588000010699034,320,240,plugged
1771344010.7850354,3693,face,29.644238380640054,5.471799988299608,320,240,plugged
1771344010.817611,3694,face,30.69781603138357,3.8890999276190996,320,240,plugged
1771344010.8479111,3695,face,33.00314742540602,3.268199972808361,320,240,plugged
1771344010.881401,3696,face,29.859710821758846,2.94229993596673,320,240,plugged
1771344010.9150648,3697,face,29.705544066404148,4.821900045499206,320,240,plugged
1771344010.9469128,3698,face,31.399191495732893,2.7365998830646276,320,240,plugged
1771344010.9786057,3699,face,31.552726999172496,1.9980000797659159,320,240,plugged
1771344011.0111773,3700,face,30.701635984335542,5.9016000013798475,320,240,plugged
1771344011.0426219,3701,face,31.80201382991629,4.779800074175,320,240,plugged
1771344011.0901022,3702,face,21.06134664343425,2.270100172609091,320,240,plugged
1771344011.1208568,3703,face,32.515496844814486,5.51020004786551,320,240,plugged
1771344011.1536443,3704,face,30.499371005155577,3.15839983522892,320,240,plugged
1771344011.1851714,3705,face,31.7188015185202,2.6048000436276197,320,240,plugged
1771344011.2166169,3706,face,31.801049343402177,1.9697998650372028,320,240,plugged
1771344011.2504725,3707,face,29.53714410461898,4.534200066700578,320,240,plugged
1771344011.282264,3708,face,31.45499951253534,5.344899836927652,320,240,plugged
1771344011.3200662,3709,face,30.399234638410135,5.933200009167194,320,240,plugged
1771344011.346045,3710,face,32.37769698092525,3.2821998465806246,320,240,plugged
1771344011.3786447,3711,face,30.67514060248806,6.026699906215072,320,240,plugged
1771344011.4261546,3712,face,21.048240837853978,2.141500124707818,320,240,plugged
1771344011.458364,3713,face,31.04684076508557,2.0554999355226755,320,240,plugged
1771344011.4904025,3714,face,31.212496000119067,2.004999900236726,320,240,plugged
1771344011.525462,3715,face,30.874068839619586,4.0599999483674765,320,240,plugged
1771344011.554435,3716,face,34.38320476772115,3.0109998770058155,320,240,plugged
1771344011.584212,3717,face,30.925287737692347,4.310499876737595,320,240,plugged
1771344011.6182942,3718,face,29.34085106085302,5.144800059497356,320,240,plugged
1771344011.6496134,3719,face,31.92935552138366,2.3258000146597624,320,240,plugged
1771344011.683173,3720,face,29.797767815912305,6.693699862807989,320,240,plugged
1771344011.7147546,3721,face,31.663966541600296,4.77479980327189,320,240,plugged
1771344011.745074,3722,face,32.9821261470956,2.2279999684542418,320,240,plugged
1771344011.7946265,3723,face,20.18064069130765,5.865499842911959,320,240,plugged
1771344011.8263314,3724,face,31.540863287712437,2.1005000453442335,320,240,plugged
1771344011.8558264,3725,face,33.904050569472396,1.9117000047117472,320,240,plugged
1771344011.8891423,3726,face,30.01570092387843,4.899200052022934,320,240,plugged
1771344011.9236495,3727,face,30.975304265626846,3.191599855199456,320,240,plugged
1771344011.9545238,3728,face,30.213539640690957,4.897400038316846,320,240,plugged
1771344011.9847488,3729,face,33.08515220117848,1.9082999788224697,320,240,plugged
1771344012.0189996,3730,face,29.196452686240935,2.572000026702881,320,240,plugged
1771344012.0504208,3731,face,31.8256620380909,4.561499925330281,320,240,plugged
1771344012.0807917,3732,face,32.92620010205283,2.1466000471264124,320,240,plugged
1771344012.1120098,3733,face,32.03274832363409,2.548899967223406,320,240,plugged
1771344012.1613007,3734,face,21.737325994796688,3.090800018981099,320,240,plugged
1771344012.1926413,3735,face,30.48717799616212,1.902200048789382,320,240,plugged
1771344012.2241929,3736,face,32.05943636349739,2.3370999842882156,320,240,plugged
1771344012.2563636,3737,face,30.721650088627808,1.8368999008089304,320,240,plugged
1771344012.2886376,3738,face,29.34187735228688,4.201999865472317,320,240,plugged
1771344012.320101,3739,face,31.782976047042062,5.928999977186322,320,240,plugged
1771344012.3515496,3740,face,31.79791516621811,2.132499823346734,320,240,plugged
1771344012.387458,3741,face,27.84859007642204,6.072800140827894,320,240,plugged
1771344012.4168794,3742,face,33.98894669454304,2.283399924635887,320,240,plugged
1771344012.4501371,3743,face,30.068204139275807,2.539699897170067,320,240,plugged
1771344012.4845731,3744,face,30.97416053111592,2.0944999996572733,320,240,plugged
1771344012.530921,3745,face,20.619037553030935,5.625399993732572,320,240,plugged
1771344012.5601068,3746,face,34.2632705409512,2.323599997907877,320,240,plugged
1771344012.590886,3747,face,32.48930270027421,1.8734000623226166,320,240,plugged
1771344012.624503,3748,face,29.747047851403202,1.9314000383019447,320,240,plugged
1771344012.65743,3749,face,30.370179427396348,3.6050998605787754,320,240,plugged
1771344012.6899319,3750,face,30.76739801794268,4.808400059118867,320,240,plugged
1771344012.718521,3751,face,34.97818400160117,1.8414999358356,320,240,plugged
1771344012.753499,3752,face,28.58947024020503,3.718400141224265,320,240,plugged
1771344012.7861857,3753,face,30.59347328188595,5.45100006274879,320,240,plugged
1771344012.8152087,3754,face,34.455512564589135,1.949799945577979,320,240,plugged
1771344012.8497221,3755,face,28.974191765681127,5.1281999330967665,320,240,plugged
1771344012.8953314,3756,face,21.925383823229605,2.2975001484155655,320,240,plugged
1771344012.9334626,3757,face,29.222082880472648,3.9464000146836042,320,240,plugged
1771344012.9624772,3758,face,30.37193876812119,2.9147998429834843,320,240,plugged
1771344012.9936109,3759,face,32.11958586044232,2.2712000645697117,320,240,plugged
1771344013.025111,3760,face,31.745929867318594,4.651699913665652,320,240,plugged
1771344013.056677,3761,face,31.67951177510234,2.1029000636190176,320,240,plugged
1771344013.0892203,3762,face,30.728402297503223,3.3313999883830547,320,240,plugged
1771344013.1211922,3763,face,31.277434750186426,5.566599778831005,320,240,plugged
1771344013.1540644,3764,face,30.420841915924452,2.24609998986125,320,240,plugged
1771344013.185943,3765,face,31.369132737009004,4.489999962970614,320,240,plugged
1771344013.2257156,3766,face,30.394167989159186,7.125600008293986,320,240,plugged
1771344013.2649372,3767,face,21.695162132944358,4.2149999644607306,320,240,plugged
1771344013.2979708,3768,face,30.272199086270238,5.615299800410867,320,240,plugged
1771344013.3303242,3769,face,30.908651436993367,2.155900001525879,320,240,plugged
1771344013.3621583,3770,face,31.412830844355238,1.9900999031960964,320,240,plugged
1771344013.392871,3771,face,32.55992175006598,2.5895999278873205,320,240,plugged
1771344013.425461,3772,face,30.684116962829112,4.345300141721964,320,240,plugged
1771344013.4774506,3773,face,21.792780950104696,5.356099922209978,320,240,plugged
1771344013.4900742,3774,face,53.40069260541862,3.6379999946802855,320,240,plugged
1771344013.5239863,3775,face,31.934217538944132,2.940300153568387,320,240,plugged
1771344013.5694854,3776,face,21.632947365706475,3.0563001055270433,320,240,plugged
1771344013.5920045,3777,face,41.00003910068426,2.477400004863739,320,240,plugged
1771344013.6339018,3778,face,23.867888237637285,2.8225998394191265,320,240,plugged
1771344013.6639724,3779,face,33.25513577799802,3.1117000617086887,320,240,plugged
1771344013.6972303,3780,face,30.067988587322752,2.7243997901678085,320,240,plugged
1771344013.7290442,3781,face,31.43284096614882,3.701400011777878,320,240,plugged
1771344013.7613096,3782,face,30.992928449505285,3.696899861097336,320,240,plugged
1771344013.7947447,3783,face,29.908683157797157,5.746199982240796,320,240,plugged
1771344013.82713,3784,face,30.878160107189657,2.7670999988913536,320,240,plugged
1771344013.8562138,3785,face,34.38348662961324,2.8693999629467726,320,240,plugged
1771344013.8881843,3786,face,31.278834250600326,2.7413000352680683,320,240,plugged
1771344013.9213028,3787,face,30.194616619513493,3.279699943959713,320,240,plugged
1771344013.9526658,3788,face,31.884694327459595,4.989000037312508,320,240,plugged
1771344014.0014412,3789,face,20.5021238739069,6.484099896624684,320,240,plugged
1771344014.0351157,3790,face,29.696079750214174,4.686299944296479,320,240,plugged
1771344014.0708485,3791,face,31.94272963360674,5.014399997889996,320,240,plugged
1771344014.0994663,3792,face,30.26215196357838,2.9721001628786325,320,240,plugged
1771344014.148738,3793,face,20.295674054001744,3.0866998713463545,320,240,plugged
1771344014.1649697,3794,face,61.6075557057035,2.844400005415082,320,240,plugged
1771344014.192683,3795,face,36.0837591837437,2.817300148308277,320,240,plugged
1771344014.2243748,3796,face,31.553913861199923,2.978699980303645,320,240,plugged
1771344014.255901,3797,face,31.719521141033493,2.9843999072909355,320,240,plugged
1771344014.2883463,3798,face,30.821207333651763,3.014500020071864,320,240,plugged
1771344014.3063743,3799,face,55.46920584540104,2.996299881488085,320,240,plugged
1771344014.4155824,3800,face,9.385288049729024,2.757699927315116,320,240,plugged
1771344014.4326782,3801,face,58.980003937340044,2.792899962514639,320,240,plugged
1771344014.4484155,3802,face,64.93434273063644,2.9205000028014183,320,240,plugged
1771344014.4643059,3803,face,52.557566036790135,2.786800032481551,320,240,plugged
1771344014.4993906,3804,face,31.118477575397854,2.9539999086409807,320,240,plugged
1771344014.5283997,3805,face,31.290501626331654,3.0395998619496822,320,240,plugged
1771344014.5604737,3806,face,31.1779257849667,2.9864998068660498,320,240,plugged
1771344014.6120403,3807,face,20.778487847893075,3.1608000863343477,320,240,plugged
1771344014.6239781,3808,face,65.02897719344486,2.7347998693585396,320,240,plugged
1771344014.6558108,3809,face,31.414242487791725,2.593100070953369,320,240,plugged
1771344014.7090614,3810,face,18.779148328400844,2.638499950990081,320,240,plugged
1771344014.7236218,3811,face,86.73802630490529,2.8013999108225107,320,240,plugged
1771344014.7685394,3812,face,20.855459368613666,4.41970000974834,320,240,plugged
1771344014.8014717,3813,face,30.365342291208155,4.346000030636787,320,240,plugged
1771344014.8350725,3814,face,29.761189793659355,3.209399990737438,320,240,plugged
1771344014.8917184,3815,face,17.653537606801635,2.9845000244677067,320,240,plugged
1771344014.9033444,3816,face,99.6484759212183,2.6288998778909445,320,240,plugged
1771344014.9294636,3817,face,36.08810572687225,4.768300103023648,320,240,plugged
1771344014.9618192,3818,face,30.906601625536993,3.626900026574731,320,240,plugged
1771344014.9989865,3819,face,30.833442377105218,5.819200072437525,320,240,plugged
1771344015.0259764,3820,face,31.520952323693862,3.182699903845787,320,240,plugged
1771344015.0445156,3821,face,53.939788320323046,2.892300020903349,320,240,plugged
1771344015.0630703,3822,face,53.89473684210526,2.8576001059263945,320,240,plugged
1771344015.1109686,3823,face,21.807851089273644,3.5232999362051487,320,240,plugged
1771344015.1689658,3824,face,16.65543148498181,3.2629999332129955,320,240,plugged
1771344015.2074378,3825,face,29.859710821758846,6.635400000959635,320,240,plugged
1771344015.2402909,3826,face,30.66661792339019,6.086799781769514,320,240,plugged
1771344015.2676752,3827,face,30.664824278580777,5.209400085732341,320,240,battery
1771344015.297771,3828,face,33.22721043166892,5.147699965164065,320,240,battery
1771344015.330166,3829,face,30.86884268629255,5.603500176221132,320,240,battery
1771344015.3627198,3830,face,30.718500073238612,3.4531999845057726,320,240,battery
1771344015.3947496,3831,face,31.22086003736704,5.031100008636713,320,240,battery
1771344015.415744,3832,face,52.97443669798929,3.3036000095307827,320,240,battery
1771344015.4310167,3833,face,57.504270691948065,6.074400153011084,320,240,battery
1771344015.4731574,3834,face,23.73001567176423,6.164000136777759,320,240,battery
1771344015.5058162,3835,face,30.619604178681715,2.870500087738037,320,240,battery
1771344015.5750914,3836,face,15.647410380860359,5.3709999192506075,320,240,battery
1771344015.6041303,3837,face,30.219199400559095,3.024199977517128,320,240,battery
1771344015.6361785,3838,face,31.983894828348763,3.261999925598502,320,240,battery
1771344015.6678371,3839,face,31.05534618203896,2.7886999305337667,320,240,battery
1771344015.6993763,3840,face,30.21702231891993,4.913700046017766,320,240,battery
1771344015.7351813,3841,face,32.416734293244296,4.8003001138567924,320,240,battery
1771344015.7625196,3842,face,30.964556494776865,3.242500126361847,320,240,battery
1771344015.7853234,3843,face,53.97449458878637,4.375100135803223,320,240,battery
1771344015.799568,3844,face,53.99255950465353,4.14979993365705,320,240,battery
1771344015.843642,3845,face,23.82003941323126,5.772599950432777,320,240,battery
1771344015.874923,3846,face,29.963808857042842,5.392699968069792,320,240,battery
1771344015.9082155,3847,face,30.036766232929196,4.79439995251596,320,240,battery
1771344015.9704788,3848,face,16.060838365543308,6.543399998918176,320,240,battery
1771344016.0054934,3849,face,30.91616973914069,2.888200106099248,320,240,battery
1771344016.0382028,3850,face,32.023454678719766,4.493099870160222,320,240,battery
1771344016.0700014,3851,face,31.459010245563505,5.700299981981516,320,240,battery
1771344016.1060226,3852,face,26.76731229458502,4.6697999350726604,320,240,battery
1771344016.1300578,3853,face,37.230083703920684,4.584399983286858,320,240,battery
1771344016.1484854,3854,face,54.26639582875109,2.9128999449312687,320,240,battery
1771344016.1669645,3855,face,54.11516379165753,5.39750000461936,320,240,battery
1771344016.2101727,3856,face,23.14379676429691,4.012199817225337,320,240,battery
1771344016.2444034,3857,face,31.90725202163511,2.901699859648943,320,240,battery
1771344016.27962,3858,face,30.26651945821517,6.254500010982156,320,240,battery
1771344016.3091886,3859,face,31.708490516113912,3.2099001109600067,320,240,battery
1771344016.3709106,3860,face,15.427325057471265,6.1468998901546,320,240,battery
1771344016.405048,3861,face,31.719041389063243,2.791099948808551,320,240,battery
1771344016.4338212,3862,face,31.86362082456527,3.251700196415186,320,240,battery
1771344016.4656386,3863,face,31.4293079159548,6.268800003454089,320,240,battery
1771344016.4985528,3864,face,31.643183704262544,3.0262998770922422,320,240,battery
1771344016.518019,3865,face,55.27694456891326,2.724899910390377,320,240,battery
1771344016.533476,3866,face,55.11351720694322,3.346199868246913,320,240,battery
1771344016.5822716,3867,face,22.169680375916403,3.5256000701338053,320,240,battery
1771344016.6124341,3868,face,34.09033201934409,4.54570003785193,320,240,battery
1771344016.6410573,3869,face,31.315966700265054,3.310800064355135,320,240,battery
1771344016.6783102,3870,face,30.99063846136795,5.539000034332275,320,240,battery
1771344016.705041,3871,face,30.373038459588827,2.905600005760789,320,240,battery
1771344016.7707932,3872,face,15.208600902877242,6.607799790799618,320,240,battery
1771344016.8027356,3873,face,31.30638323281782,4.3530999682843685,320,240,battery
1771344016.8355043,3874,face,30.516901674888317,6.7183999344706535,320,240,battery
1771344016.8678658,3875,face,30.90090913109464,6.331299897283316,320,240,battery
1771344016.8866067,3876,face,53.359251955982444,6.6049001179635525,320,240,battery
1771344016.9045703,3877,face,55.66798062246997,6.190999876707792,320,240,battery
1771344016.946606,3878,face,23.789370994271454,2.804999938234687,320,240,battery
1771344016.9776094,3879,face,32.25444869961088,5.766700021922588,320,240,battery
1771344017.0100386,3880,face,30.836389301415988,4.958899924531579,320,240,battery
1771344017.0423107,3881,face,30.986517335382207,3.2444000244140625,320,240,battery
1771344017.078216,3882,face,31.581236352684286,6.464000092819333,320,240,battery
1771344017.106798,3883,face,30.466582890846887,6.8709999322891235,320,240,battery
1771344017.1715088,3884,face,16.178607521697202,3.0900000128895044,320,240,battery
1771344017.2028027,3885,face,29.244291361915455,5.84800005890429,320,240,battery
1771344017.2444909,3886,face,28.579535156276616,7.119199959561229,320,240,battery
1771344017.2564752,3887,face,53.52608473711077,6.634000223129988,320,240,battery
1771344017.2757232,3888,face,51.9534261507209,6.454300135374069,320,240,battery
1771344017.3198159,3889,face,25.477773863180786,6.531300023198128,320,240,battery
1771344017.3469398,3890,face,31.2825668640642,3.802799852564931,320,240,battery
1771344017.3781714,3891,face,32.01880987823963,3.5130998585373163,320,240,battery
1771344017.4101517,3892,face,31.2692734931226,3.216400044038892,320,240,battery
1771344017.4455314,3893,face,31.40295289149771,4.600499989464879,320,240,battery
1771344017.4756494,3894,face,29.714593384483504,5.005700048059225,320,240,battery
1771344017.5068133,3895,face,32.08837817781212,6.1784000135958195,320,240,battery
1771344017.5715375,3896,face,15.45016999848972,6.753799971193075,320,240,battery
1771344017.6028407,3897,face,31.945649110781066,4.816500004380941,320,240,battery
